Acorn Montessori Charter School (Prescott Valley, AZ)
Actech High School (Ypsilanti, MI)
Actions Program (Champaign, IL)
Acton Academy East Bay (Livermore, CA)
Acton Academy Venice Beach (Venice, CA)
Acton Albuquerque (Albuquerque, NM)
Acton-Boxborough Regional High (Acton, MA)
Acts (Thonotosassa, FL)
Acts Academy (Tallahassee, FL)
Acts Academy (Valley, AL)
Ad Johnston Jrsr High School (Bessemer, MI)
Ad Wheat Middle (Cleburne, TX)
Ada Elementary (Ada, MN)
Ada Elementary School (Ada, OH)
Ada High School (Ada, OH)
Ada HS (Ada, OK)
Ada Professional-Technical Center (Meridian, ID)
Ada S. Nelson Elementary (Whittier, CA)
Ada-Borup Area Learning Program (Ada, MN)
Ada-Borup Secondary (Ada, MN)
Adair Co. Elem. (Brashear, MO)
Adair Co. High (Brashear, MO)
Adair Co. High (Novinger, MO)
Adair County High School (Columbia, KY)
Adair HS (Adair, OK)
Adair Learning Academy (Columbia, KY)
Adairsville High School (Adairsville, GA)
Adairsville Middle School (Adairsville, GA)
Adairville Elementary School (Adairville, KY)
Adak School (Adak, AK)
Adam (William Laird) Elementary (Santa Maria, CA)
Adams Central High School (Monroe, IN)
Adams Central Jr-Sr High Sch (Hastings, NE)
Adams Central Middle School (Monroe, IN)
Adams City High School (Commerce City, CO)
Adams County Christian Academy (Gettysburg, PA)
Adams County Christian School (West Union, OH)
Adams County Rssp (Quincy, IL)
Adams County Technical Institute (Gettysburg, PA)
Adams Elem School (Omaha, NE)
Adams Elementary (Riverside, CA)
Adams Elementary (Santa Ana, CA)
Adams Elementary (Wapato, WA)
Adams Elementary School (Carroll, IA)
Adams Elementary School (Midland, MI)
Adams Elementary School (Westminster, CO)
Adams High School (South Bend, IN)
Adams J H (Fulshear, TX)
Adams Kirk Es (Las Vegas, NV)
Adams Middle School (Tampa, FL)
Adams School (Everett, MA)
Adams School (Logan, UT)
Adams Youth Service Center (Brighton, CO)
Adams-Friendship Elementary (Adams, WI)
Adams-Friendship High (Adams, WI)
Adams12 Five Star Preschool (Thornton, CO)
Adamston Elementary School (Clarksburg, WV)
Adamstown El Sch (Adamstown, PA)
Adamsville High School (Adamsville, TN)
Adcock O K Es (Las Vegas, NV)
Addams Elementary And Ecc (Royal Oak, MI)
Addenbrooke Classical Academy (Lakewood, CO)
Addison Elementary (Hartford, WI)
Addison Elementary School (Addison, AL)
Addison High School (Addison, AL)
Addison High School (Addison, MI)
Addison Middle School (Addison, MI)
Addison Middle/High School (Addison, NY)
Addison Mizner Elementary School (Boca Raton, FL)
Addison Trail High School (Addison, IL)
Adela Brenes Texidor (Guayama, PR)
Adela Rolon Fuentes (Toa Alta, PR)
Adelante High (Continuation) (Roseville, CA)
Adelante High (Kettleman City, CA)
Adelante High (Riverbank, CA)
Adelanto High (Adelanto, CA)
Adelbrook (Cromwell, CT)
Adelbrook-The Learning Center Of East Hartford (East Hartford, CT)
Adelphian Jr. Academy (Holly, MI)
Adelphoi Education At Albert Gallatin (Uniontown, PA)
Adelphoi Education At Butler (Latrobe, PA)
Adelphoi Education At Hartford Heights (North Huntingdon, PA)
Adelphoi Education At Indiana (Indiana, PA)
Adelphoi Education At Kittanning (Kittanning, PA)
Adena High School (Frankfort, OH)
Aderes Bais Yaakov (Lakewood, NJ)
Adirondack Christian School (Wilmington, NY)
Adirondack High School (Boonville, NY)
Adjudicated Youth Facility (Crestview, FL)
Adlai E Stevenson High School (Lincolnshire, IL)
Adlai Stevenson High School (Sterling Heights, MI)
Adm Middle School (Adel, IA)
Adm Senior High School (Adel, IA)
Admiral Arthur W Radford High School (Honolulu, HI)
Admiral Farragut Academy (St Petersburg, FL)
Admiral King Elementary School (Lorain, OH)
Admiral Peary Avts (Ebensburg, PA)
Admiral William F. Halsey Jr. Health & Public Safety Academy (Elizabeth, NJ)
Adna Middle/High School (Chehalis, WA)
Adobe Acres Elementary (Albuquerque, NM)
Adolfina Irizarry De Puig (Toa Baja, PR)
Adolfo Camarillo High (Camarillo, CA)
Adolph Link Elem School (Elk Grove Village, IL)
Adrian Community High School (Adrian, MI)
Adrian High School (Adrian, MI)
Adrian High School (Adrian, OR)
Adrian School (Adrian, TX)
Adrian Secondary (Adrian, MN)
Adrian Sr. High (Adrian, MO)
Adrian Torres Torres (Jayuya, PR)
Adrian Wilcox High (Santa Clara, CA)
Adrianne Serrano (Vieques, PR)
Adullam House Christian Academy (Wetumpka, AL)
Adult Academics (Crystal, MN)
Adult Diagnostic And Treatment Center (Avenel, NJ)
Adult Education (Elko, NV)
Adult Education Programs (Las Vegas, NV)
Adult/Community Lrn Ctr (El Paso, TX)
Advance Academy (Henderson, NC)
Advance High (Advance, MO)
Advance Learning Center (Saint Marys, GA)
Advanced Achievers Academy (Homestead, FL)
Advanced Career Education Center At Highland Springs (Highland Springs, VA)
Advanced Community Experience Program (Lunenburg, MA)
Advanced Learning Academy (San Antonio, TX)
Advanced Learning Academy (Santa Ana, CA)
Advanced Learning Academy Of Wisconsin (Barron, WI)
Advanced Math And Science Academy Charter School (Marlborough, MA)
Advanced Preparatory International (Dallas, TX)
Advanced Technologies Academy HS (Las Vegas, NV)
Advanced Technology Academy (Dearborn, MI)
Advantage Academy (Grand Prairie, TX)
Advantage Academy Of Hillsborough (Plant City, FL)
Advantage Alternative Program (Hazel Park, MI)
Advent Ridge Academy (San Marcos, TX)
Adventhealth School (Killeen, TX)
Adventure School (Tucson, AZ)
Aef - Westham Academy (Davie, FL)
Aef Schools (Davie, FL)
Aep Campus (Howe, TX)
Aerospace/Hydrospace Engineering And Physical Sciences Magne (Bridgeport, CT)
Aerostem Academy (Yuba City, CA)
Aesa Prep Academy (Austin, TX)
Afflerbaugh-Paige Camp (La Verne, CA)
Affton High (St Louis, MO)
Afsa High School (Vadnais Heights, MN)
Afterschool Program (Detroit Lakes, MN)
Afton HS (Afton, OK)
Afton Junior/Senior High School (Afton, NY)
Agana Heights Elementary School (Agana Heights, GU)
Agape Baptist Academy (Stockton, MO)
Agape Christi Academy (Eden Prairie, MN)
Agape Christian Academy (Lobeco, SC)
Agape Christian Academy (Moore Haven, FL)
Agape Christian High School (Marion, IL)
Agape Christian School Of Sarasota (Sarasota, FL)
Agape Montessori Christian Academy (Vicksburg, MS)
Agape School (Walworth, WI)
Agape School Of Christian Education (Santa Maria, CA)
Agate Junior Senior High School (Agate, CO)
Agathos Classical School (Columbia, TN)
Agawam High (Agawam, MA)
Agbu Alexmarie Manoogian School (Southfield, MI)
Agbu Manoogian-Demirdjian School (Canoga Park, CA)
Agee Lierly Life Preparation Services School (Fayetteville, AR)
Ages 3-5 Early Childhood Special Ed (Cottage Grove, MN)
Aggeler Community Day (Chatsworth, CA)
Agnes J. Johnson Charter (Weott, CA)
Agnes Risley Elementary (Sparks, NV)
Agnes Stewart Middle School (Springfield, OR)
Agora Cyber Cs (King Of Prussia, PA)
Agoura High (Agoura, CA)
Agra HS (Agra, OK)
Agra Jhs (Agra, OK)
Agripina Seda (Guanica, PR)
Agua Dulce H S (Agua Dulce, TX)
Agua Fria High School (Avondale, AZ)
Aguilar Junior-Senior High School (Aguilar, CO)
Aguilar School (Tempe, AZ)
Agwsr High School (Ackley, IA)
Ahfachkee Day School (Clewiston, FL)
Ahlberg Academy (Nelson, GA)
Ahoskie Christian School (Ahoskie, NC)
Ahrens Educational Resource Center (Louisville, KY)
Ahstw High School (Avoca, IA)
Ahstw Primary School (Avoca, IA)
Ahuimanu Elementary School (Kaneohe, HI)
Ahwahnee High (Oakhurst, CA)
Aia Lancaster Middle (Lancaster, TX)
Aiea High School (Aiea, HI)
Aiken County Career Center (Warrenville, SC)
Aiken High (Aiken, SC)
Aiken New Tech High School (Cincinnati, OH)
Aiken Scholars Academy (Aiken, SC)
Aiken School (West Hartford, CT)
Aikin El (Paris, TX)
Aikman El (Hereford, TX)
