3d Academy (Donna, TX)
Depaul College Prep (Chicago, IL)
Depaul Cristo Rey High School (Cincinnati, OH)
Depelchin-Richmond (Richmond, TX)
Depew High School (Depew, NY)
Depew HS (Depew, OK)
Deposit Middle-Senior High School (Deposit, NY)
Dept. Of Corrections Educational Program (Daytona Beach, FL)
Deptford Township High School (Deptford, NJ)
Deptford Township Middle School (Sewell, NJ)
Depue High School (Depue, IL)
Dequeen High School (Dequeen, AR)
Dequeen Primary (Dequeen, AR)
Dequincy High School (Dequincy, LA)
Derby High School (Derby, CT)
Derby High School (Derby, KS)
Derby Middle Sch (Derby, KS)
Derby Middle School (Derby, CT)
Derby Ridge Elem. (Columbia, MO)
Derech Emunah (Seattle, WA)
Derech Emunah Dba Seattle Jewish Girls High School (Seattle, WA)
Deridder High School (Deridder, LA)
Dermott High School (Dermott, AR)
Dermott Jtc School (Dermott, AR)
Derry Area Shs (Derry, PA)
Derry El (Port Isabel, TX)
Deruyter High School (Deruyter, NY)
Des Arc High School (Des Arc, AR)
Des Lacs-Burlington High School (Des Lacs, ND)
Des Moines High (Des Moines, NM)
Des Plaines Valley Efe (River Grove, IL)
Desales Catholic High School (Walla Walla, WA)
Desert Canyon Elementary (Scottsdale, AZ)
Desert Christian Academy (Bermuda Dunes, CA)
Desert Christian School (Tucson, AZ)
Desert Christian Schools Pk12 (Tucson, AZ)
Desert Edge High School (Goodyear, AZ)
Desert Garden Montessori (Phoenix, AZ)
Desert Heights Charter School (Glendale, AZ)
Desert Heights Elementary (Reno, NV)
Desert Hills High (Saint George, UT)
Desert Hills High School (Gilbert, AZ)
Desert Hot Springs High (Desert Hot Springs, CA)
Desert Junior-Senior High (Edwards, CA)
Desert Learning Academy (Palm Springs, CA)
Desert Marigold School (Phoenix, AZ)
Desert Mirage High (Thermal, CA)
Desert Mountain High School (Scottsdale, AZ)
