7933 Main St. (Kansas City, MO)
Manteo High School (Manteo, NC)
Manteo Middle School (Manteo, NC)
Manti High (Manti, UT)
Manton Consolidated High School (Manton, MI)
Mantua Elem (Fairfax, VA)
Manu'A High School (Pago Pago, AS)
Manual Arts Senior High (Los Angeles, CA)
Manual Career Tech. Ctr. (Kansas City, MO)
Manual High School (Denver, CO)
Manual High School (Peoria, IL)
Manuel A. Perez (San Juan, PR)
Manuel Demiguel Elementary School (Flagstaff, AZ)
Manuel F Fernandez Juncos (Juana Diaz, PR)
Manuel F. Cunha Intermediate (Half Moon Bay, CA)
Manuel Garcia Perez (Nueva) (Rincon, PR)
Manuel Gonzalez Melo (Rincon, PR)
Manuel Jara El (Fort Worth, TX)
Manuel Mendez Liciaga (San Sebastian, PR)
Manuel Ramos Hernandez (Quebradillas, PR)
Manuela Toro Morice (Caguas, PR)
Manus Academy (Charlotte, NC)
Manvel H S (Manvel, TX)
Manville High School (Manville, NJ)
Manville School (Roxbury Crossing, MA)
Many Farms High School (Many Farms, AZ)
Many High School (Many, LA)
Manzanita Community Day (North Fork, CA)
Manzanita Elementary School (Phoenix, AZ)
Manzanita School And Institute (Topanga, CA)
Manzano High (Albuquerque, NM)
Manzanola Elementary School (Manzanola, CO)
Manzanola Junior-Senior High School (Manzanola, CO)
Map Academy Charter School (Plymouth, MA)
Map St. Louis (Saint Louis, MO)
Mapaville School (Mapaville, MO)
Maple Creek Elementary (Fresno, CA)
Maple Creek Middle School (Fort Wayne, IN)
Maple Elem School (Loves Park, IL)
Maple Elementary (Hesperia, CA)
Maple Elementary (Shafter, CA)
Maple Elementary School (Seattle, WA)
Maple Grove Alternative High School (Brownstown, MI)
Maple Grove Junior/Senior High School (Bemus Point, NY)
Maple Grove Senior High (Maple Grove, MN)
Maple Heights High School (Maple Heights, OH)
Maple High (Lompoc, CA)
Maple Hill Junior/Senior High School (Castleton, NY)
Maple Intermediate Elementary School (North Olmsted, OH)
Maple Lake Academy (Spanish Fork, UT)
Maple Lake Secondary (Maple Lake, MN)
Maple Lawn El (Dallas, TX)
Maple Lawn Elementary (Sumner, WA)
Maple Manor El/Ms (Hazle Township, PA)
Maple Mountain High (Spanish Fork, UT)
Maple Park Middle (Kansas City, MO)
Maple Ridge El Sch (Somerset, PA)
Maple Ridge Elementary School (Pendleton, IN)
Maple River Secondary (Mapleton, MN)
Maple Road Elementary School (West Milford, NJ)
Maple School (Northbrook, IL)
Maple Shade High School (Maple Shade, NJ)
Maple Street Elementary School (Contoocook, NH)
Maple Street Magnet School (Rochester, NH)
Maple Street School (Rockville, CT)
Maple Tree Elementary (Milwaukee, WI)
Maple Valley High School (Tower City, ND)
Maple Valley Jrsr High School (Vermontville, MI)
Maple Valley Pathways High School (Vermontville, MI)
Maple Valley School (Kansas City, MO)
Maple Valley-Anthon Oto High School (Mapleton, IA)
Maplebrook School (Amenia, NY)
Maplehill School (Plainfield, VT)
Maples Elementary School (Dearborn, MI)
Maplestone (Acton, ME)
Maplesville High School (Maplesville, AL)
Mapleton Early Childhood Center (Boulder, CO)
Mapleton Early College High School (Thornton, CO)
Mapleton Elementary School (Mapleton, OR)
Mapleton Expeditionary School Of The Arts (Thornton, CO)
Mapleton High School (Ashland, OH)
Mapleton Jr/Sr High School (Mapleton, OR)
Mapletown Jshs (Greensboro, PA)
Maplewood Academy (Hutchinson, MN)
Maplewood Career Center Building (Ravenna, OH)
Maplewood El Sch (Townville, PA)
Maplewood Elementary (Puyallup, WA)
Maplewood Elementary School (Indianapolis, IN)
Maplewood Elementary School (Portland, OR)
Maplewood High (Nashville, TN)
Maplewood High School (Cortland, OH)
Maplewood Jshs (Guys Mills, PA)
Maplewood Middle School (Maplewood, MN)
Maplewood Middle School (Maplewood, NJ)
Maplewood-Richmond Hgts. High (Maplewood, MO)
Maquoketa Community High School (Maquoketa, IA)
Maquoketa Middle School (Maquoketa, IA)
Maquoketa Valley Senior High School (Delhi, IA)
Mar Vista Senior High (Imperial Beach, CA)
Marais Des Cygnes Valley Elem (Quenemo, KS)
Marais Des Cygnes Valley High (Melvern, KS)
Marais Des Cygnes Valley Middle (Melvern, KS)
Marana Distance Learning (Marana, AZ)
Marana High School (Tucson, AZ)
Maranacook Community High Sch (Readfield, ME)
Maranatha Baptist Academy (Saint Robert, MO)
Maranatha Baptist Academy (Watertown, WI)
Maranatha Baptist Christian School (El Dorado, AR)
Maranatha Christian Academy (Brooklyn Park, MN)
Maranatha Christian Academy (Oakwood, GA)
Maranatha Christian Academy (Shawnee, KS)
Maranatha Christian Academy (Webster, FL)
Maranatha Christian School (Bangor, CA)
Maranatha Christian School (Florence, SC)
Maranatha Christian Schools (San Diego, CA)
Maranatha High School (Pasadena, CA)
Maranatha Mennonite Christian School (Watsontown, PA)
Maranathan Academy (Birmingham, AL)
Marantha Baptist Academy (Oak Grove, KY)
Marathon Christian Academy (Marathon, NY)
Marathon High (Marathon, WI)
Marathon High School (Marathon, NY)
Marathon Independent School Dist (Marathon, TX)
Marathon School (Kenai, AK)
Marathon School (Marathon, FL)
Marathon Venture Academy (Marathon, WI)
Marble Falls H S (Marble Falls, TX)
Marble Hill High School Of International Studies (Bronx, NY)
Marblehead High (Marblehead, MA)
Marbury High School (Deatsville, AL)
Marc High (Caruthers, CA)
Marce Becerra Academy (Healdsburg, CA)
Marceline High (Marceline, MO)
Marcelino Rodriguez Roman (Moca, PR)
Marcellus High School (Marcellus, MI)
Marcellus High School (Marcellus, NY)
March El Sch (Easton, PA)
March Mountain High (Moreno Valley, CA)
March Valley (Moreno Valley, CA)
Marcia D Smith School (Gaithersburg, MD)
Marco Antonio Firebaugh High (Lynwood, CA)
Marco Island Academy (Marco Island, FL)
