Lakehill Preparatory School (Dallas, TX)
Lakeland Academy Community School (Freeport, OH)
Lakeland Andover School (Newton, NJ)
Lakeland Christian School (Lakeland, FL)
Lakeland Correctional Facility (Coldwater, MI)
Lakeland El (Humble, TX)
Lakeland Elementary (Norwalk, CA)
Lakeland Elementary School (Elk Rapids, MI)
Lakeland High (Deepwater, MO)
Lakeland High (Minocqua, WI)
Lakeland High (Suffolk, VA)
Lakeland High School (Shrub Oak, NY)
Lakeland High School (White Lake, MI)
Lakeland Institute For Learning, Org., Corp (Lakeland, FL)
Lakeland Jr/Sr High School (Lagrange, IN)
Lakeland Jshs (Scott Township, PA)
Lakeland Preparatory School (Lakeland, TN)
Lakeland Regional High School (Wanaque, NJ)
Lakeland School (Elkhorn, WI)
Lakeland Senior High School (Lakeland, FL)
Lakeland Senior High School (Rathdrum, ID)
Lakeland Star Acad (Lsa) (Minocqua, WI)
Lakeland-Copper Beech Middle School (Yorktown Heights, NY)
Lakemary Center (Paola, KS)
Lakemont Elementary (Petersburg, VA)
Lakeport Community Day (Lakeport, CA)
Lakeport Elementary (Lakeport, CA)
Laker High School (Pigeon, MI)
Laker Online (Turtle Lake, WI)
Lakeridge High School (Lake Oswego, OR)
Lakes Community High School (Lake Villa, IL)
Lakes Country Academy - Alex (Alexandria, MN)
Lakes Country Academy (Fergus Falls, MN)
Lakes Country Youth Educ Svcs (Moorhead, MN)
Lakes High School (Lakewood, WA)
Lakes Intl Language Acad-Headwaters (Forest Lake, MN)
Lakeshore Christian School (Plattsburgh, NY)
Lakeshore Elementary (Mooresville, NC)
Lakeshore High School (Mandeville, LA)
Lakeshore High School (Stevensville, MI)
Lakeshore Learning Center (Muskegon, MI)
Lakeshore Middle School (Stevensville, MI)
Lakeshore Virtual School (Gibraltar, MI)
Lakeside (Bakersfield, CA)
Lakeside Academy (Buffalo, MN)
Lakeside Academy (Duluth, MN)
Lakeside Charter School Kalamazoo (Kalamazoo, MI)
Lakeside Christian Academy (Paris, TN)
Lakeside Christian Academy (Slidell, LA)
Lakeside El (Coppell, TX)
Lakeside El. (Chisago City, MN)
Lakeside Elementary (Cawker City, KS)
Lakeside Elementary (Hurricane, WV)
Lakeside Elementary (Los Gatos, CA)
Lakeside Elementary School (Honesdale, PA)
Lakeside Elementary School (Indianapolis, IN)
Lakeside Girls Academy (North Wales, PA)
Lakeside High (Lake Elsinore, CA)
Lakeside High School (Ashtabula, OH)
Lakeside High School (Atlanta, GA)
Lakeside High School (Evans, GA)
Lakeside High School (Hot Springs, AR)
Lakeside High School (Lake Village, AR)
Lakeside High School (Nine Mile Falls, WA)
Lakeside High School (Plummer, ID)
Lakeside Junior-Senior High School (Sibley, LA)
Lakeside Junior/Senior High School (Downs, KS)
