Inlet Elementary School (Inlet, NY)
Inlet Grove Community High School (Riviera Beach, FL)
Inlet View Elementary (Anchorage, AK)
Inman Elementary (Inman, SC)
Inman Jr/Sr High School (Inman, KS)
Inner City Christian School (Jacksonville, FL)
Innis Elementary School (Columbus, OH)
Innocademy (Zeeland, MI)
Innoko River School (Shageluk, AK)
Innovation Academy (Howell, MI)
Innovation Academy Charter School (Tyngsboro, MA)
Innovation Central High (Grand Rapids, MI)
Innovation Design Entrepreneurship Academy (Dallas, TX)
Innovation Diploma Plus (New York, NY)
Innovation High School (Jersey City, NJ)
Innovation Lab High School (Bothell, WA)
Innovation Middle (Orlando, FL)
Innovation Middle (San Diego, CA)
Innovation Montessori High Charter (Ocoee, FL)
Innovation Tech High School (Tucson, AZ)
Innovations & Options (Brighton, CO)
Innovations Academy Of Palmdale (Palmdale, CA)
Innovations Academy Therapeutic Day School (Streamwood, IL)
Innovations High School (Reno, NV)
Innovations High School (Salt Lake City, UT)
Innovations Int'L Charter J-Shs (Las Vegas, NV)
Innovations K-8 (Salt Lake City, UT)
Innovative & Alternative High (Madison, WI)
Innovative Arts Academy Cs (Catasauqua, PA)
Innovative Connections High School (Greeley, CO)
Inola HS (Inola, OK)
Insight @ San Diego (Simi Valley, CA)
Insight @ San Joaquin (Simi Valley, CA)
Insight Colearning Center (Durham, NC)
Insight Pa Cyber Cs (Exton, PA)
Insight School Of California (Simi Valley, CA)
Insight School Of Idaho (Meridian, ID)
Insight School Of Indiana (Indianapolis, IN)
Insight School Of Ks At Hilltop Ed Center (Olathe, KS)
Insight School Of Michigan (Lansing, MI)
Insight School Of Minnesota (Brooklyn Center, MN)
Insight School Of Oklahoma HS (Midwest City, OK)
Insight School Of Oklahoma Ms (Midwest City, OK)
Insight School Of Oregon Painted Hills (Mitchell, OR)
Insight School Of Wa Open Doors Program (Tacoma, WA)
Insight School Of Washington (Forks, WA)
Insight School Of Wisconsin High (Mcfarland, WI)
Inspiration Academy (Bradenton, FL)
Inspire Academy - A Sch Of Inquiry (Muncie, IN)
Inspire Academy (Lafayette, AL)
Inspire Charter Academy (Natl. Heritage Acad.) (Baton Rouge, LA)
Inspire Christian Academy (Orlando, FL)
Inspire Elementary (Denver, CO)
Inspire Learning Academy (Longwood, FL)
Inspire School Of Arts And Sciences (Chico, CA)
Inspire School Of Autism (Brattleboro, VT)
Inspire Virtual Charter School (Boise, ID)
Inspire4 K-12 Online School (Windsor, CO)
Inspired Vision Academy Secondary (Dallas, TX)
Institute For Collaborative Education (New York, NY)
Institute For Health Professions At Cambria Heights (Cambria Heights, NY)
Institute Of Innovation (Gaffney, SC)
Institute Of Technology At Syracuse Central (Syracuse, NY)
Instructional Center System Wide (Miami, FL)
Instructional Resource Center (Cincinnati, OH)
Intech Collegiate Academy (North Logan, UT)
Integrated Arts Academy (Chaska, MN)
Integrated Arts Academy At H. O. Wheeler (Burlington, VT)
Integrated Arts And Technology High School (Rochester, NY)
Integrity Christian Academy #6889 (Groveland, FL)
Integrity Christian School (Anaheim, CA)
Integrity Education Centre (Tempe, AZ)
Intellectual Virtues Academy (Long Beach, CA)
Intelli-School - Metro Center (Phoenix, AZ)
Intelli-School - Paradise Valley (Phoenix, AZ)
Intelli-School (Chandler, AZ)
Intelli-School Glendale (Glendale, AZ)
Intellicor International Academy (Charlotte, NC)
Intensive Dcd - Snw (Monticello, MN)
Intensive Education Academy In (West Hartford, CT)
Intensive Interagency Program (Hawley, MN)
Inter-American Elem Magnet School (Chicago, IL)
Inter-City Baptist School (Allen Park, MI)
Inter-Lakes High School (Meredith, NH)
Interactive Education Academy (Valrico, FL)
Interactive Media & Construction (Imac) (Mansfield, OH)
Interagency Open Doors (Seattle, WA)
Interagency Programs (Seattle, WA)
Interboro Shs (Prospect Park, PA)
Interdistrict School For Arts And Communication (New London, CT)
Interior Distance Education Of Alaska (Idea) (Fairbanks, AK)
Interlachen High School (Interlachen, FL)
Interlake Senior High School (Bellevue, WA)
Interlochen Arts Academy (Interlochen, MI)
Intermedia Bo Quebradillas (Barranquitas, PR)
Intermedia Juan Serralles (Ponce, PR)
Intermediate Elementary School (Galion, OH)
Intermountain Academy (Tucson, AZ)
Intermountain Christian School (Salt Lake City, UT)
Intermountain Virtual Learning Academy (Pendleton, OR)
International Acad Of Columbus (Columbus, OH)
International Academy (Bloomfield Hills, MI)
International Academy Of Flint K12 (Flint, MI)
International Academy Of Macomb (Clinton Twp, MI)
International Academy Of Smyrna (Smyrna, GA)
International Charter School (Pawtucket, RI)
International Charter School Of Atlanta (Roswell, GA)
International Christian Academy Of Labelle (Labelle, FL)
International Christian High School (Philadelphia, PA)
International Christian School (Brooklyn, NY)
International Commerce High School - Phoenix (Phoenix, AZ)
International Commerce High School - Tempe (Tempe, AZ)
International Community High School (Bronx, NY)
International Community School (Kirkland, WA)
International Community School (Winter Park, FL)
International H S (Austin, TX)
International High School (Paterson, NJ)
International High School @ Langley Park (Bladensburg, MD)
International High School @ Largo (Upper Marlboro, MD)
International High School At Lafayette (Brooklyn, NY)
International High School At Laguardia Community College (Long Island City, NY)
International High School At Prospect Heights (Brooklyn, NY)
International High School At Union Square (New York, NY)
International High School For Health Sciences (Elmhurst, NY)
International Leadership Charter High School (Bronx, NY)
International Polytechnic High (Pomona, CA)
International Prep Academy (Champaign, IL)
International Preparatory School (The) (Buffalo, NY)
International School (Bellevue, WA)
International School At Mesa Del Sol (Albuquerque, NM)
International School For Autism/Global Leaders Aca (Kissimmee, FL)
International School For Liberal Arts (Bronx, NY)
International School Of America (San Antonio, TX)
International School Of Beaverton (Beaverton, OR)
International School Of Broward (Hollywood, FL)
International School Of Indiana (Indianapolis, IN)
International School Of Los Angeles-Burbank (Burbank, CA)
International Studies Charter High School (Miami, FL)
International Studies Charter Middle School (Miami, FL)
International Studies Lrng Center At Legacy High Sch Complex (South Gate, CA)
International Studies Preparatory Academy (Coral Gables, FL)
International Studies Virtual (Miami, FL)
Internet Academy (Federal Way, WA)
Internet Pasco Academy Of Learning (Pasco, WA)
Interstate 35 High School (Truro, IA)
Intrepid College Preparatory Charter School (Antioch, TN)
Intrinsic 2 Charter High School (Chicago, IL)
Intrinsic Charter High School (Chicago, IL)
Inverness Academy (Cheboygan, MI)
Inverness Christian Academy (Inverness, FL)
Inverness Elementary (Inverness, CA)
Inverness Primary School (Inverness, FL)
Inverness School (Inverness, MS)
Invest Collegiate Transform (Charlotte, NC)
Invest High School (Plymouth, MN)
Invest Roosevelt Alternative High School (Hazel Park, MI)
Invictus Academy Of Richmond (El Sobrante, CA)
Invictus Academy Tampa Bay (Tarpon Springs, FL)
Invictus High School (Cleveland, OH)
Inwood Academy For Leadership Charter School (New York, NY)
Inwood Early College For Health And Information Technologies (New York, NY)
Inyokern Elementary (Inyokern, CA)
Iola H S (Iola, TX)
Iola Sr High (Iola, KS)
Iola-Scandinavia High (Iola, WI)
