Basin Alternative High School (Driggs, ID)
Basis Ahwatukee (Phoenix, AZ)
Basis Chandler (Chandler, AZ)
Basis Dc Pcs (Washington, DC)
Basis Flagstaff (Flagstaff, AZ)
Basis Goodyear (Goodyear, AZ)
Basis Independent Fremont Upper School (Fremont, CA)
Basis Independent Mclean (Mclean, VA)
Basis Independent Silicon Valley (San Jose, CA)
Basis Mesa (Mesa, AZ)
Basis Oro Valley (Oro Valley, AZ)
Basis Peoria (Peoria, AZ)
Basis Phoenix (Phoenix, AZ)
Basis Prescott (Prescott, AZ)
Basis San Antonio- Shavano Campus (San Antonio, TX)
Basis Scottsdale (Scottsdale, AZ)
Basis Tucson North (Tucson, AZ)
Basis Tucson Primary (Tucson, AZ)
Baskerville Elementary (Rocky Mount, NC)
Bass Memorial Academy (Lumberton, MS)
Bassett High (Bassett, VA)
Bassett Middle (El Paso, TX)
Bassett Senior High (La Puente, CA)
Bassick High School (Bridgeport, CT)
Basswood El (Fort Worth, TX)
Bastian El (Houston, TX)
Bastrop H S (Bastrop, TX)
Bastrop High School (Bastrop, LA)
Batavia High School (Batavia, NY)
Batavia High School (Batavia, OH)
Batavia Middle School (Batavia, NY)
Batavia Sr High School (Batavia, IL)
Bateman Elem School (Chicago, IL)
Bates (Dexter, MI)
Bates Academy (Detroit, MI)
Bates Elementary (Courtland, CA)
Bates Elementary School (Little Rock, AR)
Bates Middle (Sumter, SC)
Bates Technical College - Open Doors (Tacoma, WA)
Bates Technical High School (Tacoma, WA)
Batesburg-Leesville High School (Batesburg-Leesville, SC)
Batesburg-Leesville Primary School (Batesburg-Leesville, SC)
Batesville High School (Batesville, AR)
Batesville High School (Batesville, IN)
Batesville School (Batesville, TX)
Bath County High (Hot Springs, VA)
Bath County High School (Owingsville, KY)
Bath High School (Bath, MI)
Bath High School (Lima, OH)
Bath Middle School (Bath, MI)
Bath Middle School (Lima, OH)
Bath Regional Career & Technical (Bath, ME)
Baton Rouge Magnet High School (Baton Rouge, LA)
Battery Creek High (Beaufort, SC)
Battiest HS (Broken Bow, OK)
Battle Academy For Teaching Learning (Chattanooga, TN)
Battle Creek Academy (Battle Creek, MI)
Battle Creek Area Learning Center (Springfield, MI)
Battle Creek Central High School (Battle Creek, MI)
Battle Creek Elementary School (Saint Paul, MN)
Battle Creek Elementary School (Salem, OR)
Battle Creek High School (Battle Creek, NE)
Battle Creek Mathsci Center (Battle Creek, MI)
Battle Creek Middle (Saint Paul, MN)
Battle Ground High School (Battle Ground, WA)
Battle Lake Secondary (Battle Lake, MN)
Battle Monument School (Baltimore, MD)
Battle Mountain Early College High School (Edwards, CO)
Battle Mountain High School (Battle Mountain, NV)
Battle Mountain High School (Edwards, CO)
Battle Rock Charter School (Cortez, CO)
Battlefield High (Haymarket, VA)
Battlefield Middle (Fredericksburg, VA)
Bauder Elementary School (Fort Collins, CO)
Bauxite High School (Bauxite, AR)
Bavel (Glasgow, KY)
Baxter Academy For Tech & Sciences (Portland, ME)
Baxter Elementary (Baxter, MN)
Baxter High School (Baxter, IA)
Baxter Springs High (Baxter Springs, KS)
Bay Area Christian School (League City, TX)
Bay Area Technology (Oakland, CA)
Bay City Academy Farragut Campus (Bay City, MI)
Bay City Adult Educationctp (Bay City, MI)
Bay City Central High School (Bay City, MI)
Bay City Christian School (Green Bay, WI)
Bay City Eastern High School (Bay City, MI)
Bay City H S (Bay City, TX)
Bay City Western High School (Auburn, MI)
Bay Cove Academy (Brookline, MA)
Bay Crest Elementary School (Tampa, FL)
Bay El (Seabrook, TX)
Bay Haven Charter Middle School (Panama City, FL)
Bay Haven School Of Basics Plus (Sarasota, FL)
Bay High School (Bay St Louis, MS)
Bay High School (Bay Village, OH)
Bay High School (Bay, AR)
Bay High School (Panama City, FL)
Bay Middle School (Bay Village, OH)
Bay Path Regional Vocational Technical High School (Charlton, MA)
Bay Pines Center (Escanaba, MI)
Bay Port High (Green Bay, WI)
Bay Ridge Preparatory School (Brooklyn, NY)
Bay Ridge Prepatory School (Brooklyn, NY)
Bay Shore Senior High School (Bay Shore, NY)
Bay Springs Elem Sch (Bay Springs, MS)
Bay Springs High School (Bay Springs, MS)
Bay View (Green Bay, WI)
Bay View Elem (Norfolk, VA)
Bay View High (Milwaukee, WI)
Bay View Montessori School (Milwaukee, WI)
Bay Virtual Franchise (Panama City, FL)
Bay Virtual Instruction (Course Offerings) (Panama City, FL)
Bay Virtual Instruction Program (District Provided) (Panama City, FL)
Bayaan Academy (Thonotosassa, FL)
Bayard Secondary School (Bayard, NE)
Bayarenac Community High School (Essexville, MI)
Baycare Behavioral Health (New Port Richey, FL)
Baychester Middle School (Bronx, NY)
Bayfield High (Bayfield, WI)
Bayfield High School (Bayfield, CO)
Bayfield Middle (Bayfield, WI)
Bayhill High School (Berkeley, CA)
Bayless Senior High (St Louis, MO)
Baylor School (Chattanooga, TN)
Bayonet Point Middle School (New Port Richey, FL)
Bayonne Academy (Bayonne, NJ)
Bayonne Alternative High School (Bayonne, NJ)
Bayonne High School (Bayonne, NJ)
Bayou Academy (Cleveland, MS)
Bayou L'Ourse Primary School (Morgan City, LA)
Bayport-Blue Point High School (Bayport, NY)
Bayshore (Daly City, CA)
Bayshore Christian School (Tampa, FL)
Bayshore Elementary School (North Ft Myers, FL)
Bayshore Elementary School (Port St Lucie, FL)
Bayshore High School (Bradenton, FL)
Bayshore Middle School (Leonardo, NJ)
Bayside Community Day (Moreno Valley, CA)
Bayside High (Virginia Beach, VA)
Bayside High School (Bayside, NY)
Bayside High School (Clearwater, FL)
Bayside High School (Palm Bay, FL)
Bayside Steam Academy (Imperial Beach, CA)
Baystate Academy Charter Public School (Springfield, MA)
Baytown Christian Academy (Baytown, TX)
Baytown J H (Baytown, TX)
Bayvale Elementary School (Augusta, GA)
Bayview Elementary (San Pablo, CA)
Bayview Elementary (Waconia, MN)
Bayview Elementary School (Belford, NJ)
Bayview Elementary School (Jacksonville, FL)
Bayville Elementary School (Bayville, NJ)
Bayville Primary (Bayville, NY)
Bayyari Elementary School (Springdale, AR)
Bb Comer Memorial High School (Sylacauga, AL)
Bbe Learning Center (Brooten, MN)
Bcdc Educational Center (Towson, MD)
Bcluw High School (Conrad, IA)
Be Unique Academy Prep (Miami, FL)
Be'Er Hagolah Institutes (B & G) (Brooklyn, NY)
Beach Cities Learning Center (Manhattan Beach, CA)
Beach Cities Learning San Gabriel (San Gabriel, CA)
Beach Elementary (Chesapeake Beach, MD)
Beach Elementary School (Pascagoula, MS)
Beach Elementary School (Portland, OR)
Beach High School (Beach, ND)
Beach High School (Savannah, GA)
Beach High-Intensive Learning Program (Long Beach, CA)
Beaches Chapel School (Neptune Beach, FL)
Beachwood High School (Beachwood, OH)
Beacon Academy (Bowling Green, KY)
Beacon Academy (Evanston, IL)
Beacon Academy (Ooltewah, TN)
Beacon Academy Of Nevada (Las Vegas, NV)
Beacon Alp (Bloomington, MN)
Beacon Alp Is (Bloomington, MN)
Beacon Charter School (Woonsocket, RI)
Beacon Christian Academy (Bayonne, NJ)
Beacon Heights School (Salt Lake City, UT)
Beacon High School (Beacon, NY)
Beacon High School (Naples, FL)
Beacon High School (New York, NY)
Beacon Hill Academy (Dundee, OH)
Beacon Hill Elementary (Longview, WA)
Beacon Of Hope Christian School (St Augustine, FL)
Beacon Park (Irvine, CA)
Beacon Program W Central Ed. Dist. (Sauk Centre, MN)
Beacon Scholastic Academy (Westwood, MA)
Beacon Tree Elementary School (Shelby Township, MI)
Beadle Lake Elementary School (Battle Creek, MI)
Beal City High School (Mount Pleasant, MI)
Beal School (Shrewsbury, MA)
Beallsville High School (Beallsville, OH)
Bean Elementary School (Spring Arbor, MI)
Bear Branch El (Magnolia, TX)
Bear Branch J H (Magnolia, TX)
Bear Creek Academy (Cumberland, VA)
Bear Creek Academy (Tuscaloosa, AL)
Bear Creek Elementary (Baltimore, MD)
Bear Creek Elementary School (St Petersburg, FL)
Bear Creek High (Stockton, CA)
Bear Creek High School (Lakewood, CO)
Bear Grass Charter School (Williamston, NC)
Bear Lake Christian Academy (Apopka, FL)
Bear Lake High School (Bear Lake, MI)
Bear Lake High School (Montpelier, ID)
