Killington Mountain School (Killington, VT)
Kilmer Center (Vienna, VA)
Kilmer Elem School (Chicago, IL)
Kilpatrick Elementary School (Jonesboro, GA)
Kim Undivided High School (Kim, CO)
Kimball (National City, CA)
Kimball Elementary (Antioch, CA)
Kimball Elementary School (Kimball, WV)
Kimball High School - 01 (Kimball, SD)
Kimball Jr/Sr High School (Kimball, NE)
Kimball Secondary (Kimball, MN)
Kimball Union Academy (Meriden, NH)
Kimberly High (Kimberly, WI)
Kimberly High School (Kimberly, ID)
Kimberly Lane Elementary (Plymouth, MN)
Kimberton Waldorf School (Kimberton, PA)
Kimmel Alternative School (Altoona, PA)
Kimmie M Brown El (Dayton, TX)
Kimper Elementary School (Kimper, KY)
Kinchafoonee Primary School (Leesburg, GA)
Kincheloe Elementary School (Dowagiac, MI)
Kinder H S For Performing And Visual Arts (Houston, TX)
Kinder High School (Kinder, LA)
Kindergarten Academy (Mechanicsburg, PA)
Kindergarten Center (Lynbrook, NY)
Kindle Farm School (Newfane, VT)
Kindred El (San Antonio, TX)
Kindred Elementary School (Kindred, ND)
Kindred High School (Kindred, ND)
King (Martin Luther) High (Continuation) (Davis, CA)
King & Queen Christian School For All Students (Pinellas Park, FL)
King Abdullah Academy (Herndon, VA)
King Avenue Elementary (Yuba City, CA)
King City High (King City, CA)
King City High (King City, MO)
King College Prep High School (Chicago, IL)
King Cove School (King Cove, AK)
King El Sch (Lancaster, PA)
King Elementary (Green Bay, WI)
King Elementary (Montgomery, AL)
King Elementary (Stockton, CA)
King Elementary School (Akron, OH)
King Elementary School (Des Moines, IA)
King Elementary School (Framingham, MA)
King George Elem (King George, VA)
King George High (King George, VA)
King George Middle (King George, VA)
King H S (Corpus Christi, TX)
King High School (Tampa, FL)
King International (Milwaukee, WI)
King Kaumualii Elementary School (Lihue, HI)
King Kekaulike High School (Pukalani, HI)
King Martin Luther HS (Philadelphia, PA)
King Middle School (Atlanta, GA)
King Of Kings Christian Academy (Abbeville, GA)
King Philip Middle School (West Hartford, CT)
King Philip Regional High (Wrentham, MA)
King Queen Christian School For All Stude (Pinellas Park, FL)
King School (Layton, UT)
King Springs Elementary School (Smyrna, GA)
King William High (King William, VA)
King William Lunalilo Elementary School (Honolulu, HI)
King-Chavez Community High (San Diego, CA)
King'S Academy (Houston, TX)
King'S Academy (Jonesboro, IN)
King'S Academy Christian School (Tyler, TX)
King'S Christian Academy (Roanoke, VA)
King'S Fork High (Suffolk, VA)
King'S Grant Elem (Virginia Beach, VA)
King'S Ridge Christian School (Alpharetta, GA)
King'S School (Seattle, WA)
King'S Way Christian School (Douglasville, GA)
King/Drew Medical Magnet High (Los Angeles, CA)
Kingdom Academy Of Bluffton Inc (Bluffton, IN)
Kingdom Bound Christian School (Burlington, CO)
Kingdom Collegiate Academies (Dallas, TX)
Kingdom Country Academy (Van Alstyne, TX)
Kingdom Life Preparatory Academy (Tallahassee, FL)
Kingdom Prep Lutheran High School (Wauwatosa, WI)
Kingdom Preparatory Academy (Lubbock, TX)
Kingfield Elementary School (Kingfield, ME)
Kingfisher HS (Kingfisher, OK)
Kingman Academy Of Learning - High School (Kingman, AZ)
Kingman High (Kingman, KS)
Kingman High School (Kingman, AZ)
Kings Academy (Escondido, CA)
Kings Canyon Continuation (Dinuba, CA)
Kings Classical Academy (Livermore, CA)
Kings Collegiate Charter School (Brooklyn, NY)
Kings County Rop (Hanford, CA)
Kings County Special Education (Hanford, CA)
Kings Court Christian Academy (Greenville, MS)
Kings Daughters Hosp. Ep. (Norfolk, VA)
Kings High School (Kings Mills, OH)
Kings Highway Elementary Magnet School (Clearwater, FL)
Kings Lake Education Center (Corcoran, CA)
Kings Mountain Elementary (Woodside, CA)
Kings Mountain High (Kings Mountain, NC)
Kings Park Elem (Springfield, VA)
Kings Park High School (Kings Park, NY)
Kings Peak School (Roosevelt, UT)
Kings River High (Continuation) (Sanger, CA)
Kings Trail Elementary School (Jacksonville, FL)
Kings Valley Academy Ii (Hanford, CA)
Kings Valley Charter School (Philomath, OR)
Kings Way Christian Schools (Vancouver, WA)
Kingsborough Early College School (Brooklyn, NY)
Kingsborough Middle (San Antonio, TX)
Kingsbridge International High School (Bronx, NY)
Kingsburg High (Kingsburg, CA)
Kingsbury Career Technology Center (Memphis, TN)
Kingsbury Elementary School (Laporte, IN)
Kingsbury High (Memphis, TN)
Kingsford High School (Kingsford, MI)
Kingsgate Es (Oklahoma City, OK)
Kingsland Elementary School (Kingsland, GA)
Kingsland Junior/Senior High School (Spring Valley, MN)
Kingsley Area High School (Kingsley, MI)
Kingsley Elementary (Montclair, CA)
Kingsley Elementary School (Waterloo, IA)
Kingsley Montgomery School (Waterford, MI)
Kingsley-Pierson High School (Kingsley, IA)
Kingsman Academy Pcs (Washington, DC)
Kingspoint Christian School (Pasco, WA)
Kingston Elem. (Kingston, MO)
Kingston Elementary School (Benton, LA)
Kingston Elementary School (Kingston, IL)
Kingston High (Cadet, MO)
Kingston High School (Kingston, AR)
Kingston High School (Kingston, MI)
Kingston High School (Kingston, NY)
Kingston High School (Kingston, WA)
Kingston HS (Kingston, OK)
Kingston Middle School (Kingston, WA)
Kingston Ms (Kingston, OK)
Kingstree Christian Academy (Kingstree, SC)
Kingstree Middle Magnet (Kingstree, SC)
Kingstree Senior High (Kingstree, SC)
Kingsville Elem. (Kingsville, MO)
Kingsville High (Kingsville, MO)
Kingsway Christian School (Orrville, OH)
Kingsway Learning Center (Voorhees, NJ)
Kingsway Regional High School (Woolwich Twp, NJ)
Kingswood K-8 (Citrus Heights, CA)
Kingswood Oxford School (West Hartford, CT)
Kingswood Regional High School (Wolfeboro, NH)
Kingswood School (Urbana, IL)
Kingswood School (Winston-Salem, NC)
Kingwood H S (Kingwood, TX)
Kingwood Park H S (Kingwood, TX)
Kingwood Township School (Frenchtown, NJ)
Kinnelon High School (Kinnelon, NJ)
Kinney High (Continuation) (Rancho Cordova, CA)
Kinney School (Mount Pleasant, MI)
Kinoshita Elementary (San Juan Capistrano, CA)
Kinport Middle School (Pocatello, ID)
Kinross Correctional Facility (Kincheloe, MI)
Kinry Road Elementary School (Poughkeepsie, NY)
Kinsella Magnet School Of Performing Arts (Hartford, CT)
Kinship Academy (San Jose, CA)
Kinsley Jr/Sr High School (Kinsley, KS)
Kinston High (Kinston, NC)
Kinston School (Kinston, AL)
Kinta HS (Kinta, OK)
Kinwell Academy Inc (Marion, IN)
Kinyon Elementary School (Taylor, MI)
Kiona-Benton City High School (Benton City, WA)
Kiona-Benton City Primary School (Benton City, WA)
Kiowa County High School (Greensburg, KS)
Kiowa High School (Kiowa, CO)
Kiowa HS (Kiowa, OK)
Kipling Elem School (Chicago, IL)
Kipling Elem School (Deerfield, IL)
Kipp Academy Charter School (Bronx, NY)
Kipp Academy Lynn Charter School (Lynn, MA)
Kipp Atlanta Collegiate Academy (Atlanta, GA)
Kipp Austin Academy Of Arts & Letters (Austin, TX)
Kipp Austin Brave (Austin, TX)
Kipp Austin Collegiate (Austin, TX)
Kipp Austin Comunidad (Austin, TX)
Kipp Austin Connections El (Austin, TX)
Kipp Austin Vista Middle Schools (Austin, TX)
Kipp Blytheville Collegiate High School (Blytheville, AR)
Kipp Booker T Washington (New Orleans, LA)
Kipp Chicago Charters - Ascend Academy (Chicago, IL)
